"TABLE 2. Age-standardized* percentage of adults meeting criteria for current depression,?ÿby type of depression and state/territory --- Behavioral Risk Factor Surveillance System, United States, 2006 and 2008?",,,,
state,number,Major depression,Other depression,Any current depression
Vermont,"6,185",3.0 (2.5--3.6),4.8 (4.1--5.7),7.8 (6.9--8.8)
Virginia,"4,636",2.8 (1.9--4.1),4.2 (3.4--5.2),7.0 (5.8--8.5)
Washington,"9,382",3.1 (2.6--3.7),4.6 (4.0--5.3),7.7 (6.9--8.5)
West Virginia,"3,439",5.3 (4.4--6.3),9.0 (7.8--10.3),14.3 (12.8--15.9)
Wisconsin,"4,228",2.3 (1.9--2.9),4.2 (3.4--5.1),6.5 (5.6--7.6)
Wyoming,"4,495",3.1 (2.5--3.7),4.5 (3.8--5.4),7.6 (6.7--8.6)
Puerto Rico,"4,181",4.5 (3.9--5.2),10.2 (9.1--11.3),14.7 (13.5--15.9)
U.S. Virgin Islands,"2,649",1.7 (1.2--2.3),7.4 (6.1--8.9),9.1 (7.7--10.6)
Abbreviation:ÿN/A = data not available.,,,,
,,,,
* Age standardized to the 2000 U.S. standard population.,,,,
,,,,
?ÿBased on responses to Patient Health Questionnaire 8.,,,,
,,,,
"?ÿData presented were collected by 16 states in 2008 and by 29 different states, the District of Columbia, and two territories in 2006. Five states (Kentucky, New Jersey, North Carolina, Pennsylvania, and South Dakota) did not participate in either year. Nine states (Hawaii, Kansas, Louisiana, Maine, Mississippi, Nebraska, North Dakota, Vermont, and Washington) participated in both years, but only 2008 data were included.",,,,
,,,,
?ÿConfidence interval.,,,,
* SOURCE: http://www.cdc.gov/mmwr/preview/mmwrhtml/mm5938a2.htm?s_cid=mm5938a2_w#tab1,,,,
